Salesdate;Product;Price;Amount;Sales;PaymethodID;Customer ID;Costs;Deliverydate;DelcompID;OrderID
1-1-2019;120-Star Lite;226;71;16046;7;340;13318,18;4-1-2019;DC4;20191100053
1-1-2019;20-Canyon Mule Weekender Backpack;84;39;3276;3;193;2129,4;5-1-2019;DC1;20191100054
1-1-2019;4-Bear Edge;149;11;1639;3;135;1180,08;3-1-2019;DC1;20191100055
1-1-2019;52-Glacier GPS Extreme;127;8;1016;2;67;741,68;3-1-2019;DC4;20191100056
1-1-2019;101-Pocket Gizmo;207;51;10557;4;264;8023,32;3-1-2019;DC4;20191100057
1-1-2019;56-Granite Chalk Bag;140;14;1960;4;187;1352,4;2-1-2019;DC3;20191100058
1-1-2019;109-Sam;150;87;13050;7;281;9396;2-1-2019;DC4;20191100059
1-1-2019;55-Granite Carabiner;247;25;6175;2;80;4013,75;3-1-2019;DC3;20191100060
1-1-2019;18-Canyon Mule Extreme Backpack;202;87;17574;5;449;12301,8;2-1-2019;DC3;20191100061
1-1-2019;78-Husky Harness Extreme;249;33;8217;6;276;6162,75;2-1-2019;DC1;20191100062
1-1-2019;101-Pocket Gizmo;207;57;11799;3;485;8967,24;3-1-2019;DC3;20191100063
1-1-2019;82-Husky Rope 60;88;98;8624;4;627;6123,04;4-1-2019;DC1;20191100064
1-1-2019;96-Mountain Man Combination;150;56;8400;1;605;6636;3-1-2019;DC4;20191100065
1-1-2019;121-Star Peg;181;15;2715;6;7;2280,6;5-1-2019;DC3;20191100066
1-1-2019;75-Hibernator Pillow;245;18;4410;1;266;3439,8;3-1-2019;DC1;20191100067
1-1-2019;140-Trendi;191;6;1146;5;37;939,72;3-1-2019;DC1;20191100068
1-1-2019;111-Seeker 50;71;47;3337;2;105;2636,23;4-1-2019;DC3;20191100069
1-1-2019;121-Star Peg;181;61;11041;7;343;9274,44;3-1-2019;DC4;20191100070
1-1-2019;30-Deluxe Family Relief Kit;184;90;16560;2;266;13082,4;5-1-2019;DC2;20191100071
1-1-2019;53-Granite Axe;67;32;2144;7;9;1500,8;2-1-2019;DC3;20191100072
1-1-2019;119-Star Gazer 6;187;47;8789;4;416;5888,63;5-1-2019;DC3;20191100073
1-1-2019;106-Polar Wave;213;43;9159;6;282;7601,97;2-1-2019;DC3;20191100074
1-1-2019;2-Astro Pilot;115;2;230;7;89;188,6;3-1-2019;DC4;20191100075
1-1-2019;95-Mountain Man Analog;126;25;3150;7;494;2488,5;5-1-2019;DC1;20191100076
1-1-2019;112-Seeker Extreme;115;21;2415;2;65;1690,5;4-1-2019;DC3;20191100077
1-1-2019;69-Hawk Eye;149;83;12367;2;513;10264,61;2-1-2019;DC4;20191100078
1-1-2019;61-Granite Ice;165;9;1485;6;398;1217,7;4-1-2019;DC3;20191100079
1-1-2019;48-Flicker Lantern;177;54;9558;5;387;6403,86;4-1-2019;DC2;20191100080
1-1-2019;35-EverGlow Kerosene;106;99;10494;7;349;7450,74;4-1-2019;DC2;20191100081
1-1-2019;114-Single Edge;200;43;8600;1;469;6880;2-1-2019;DC1;20191100082
1-1-2019;43-Firefly Extreme;100;23;2300;5;464;1817;2-1-2019;DC1;20191100083
1-1-2019;114-Single Edge;200;32;6400;6;670;5120;2-1-2019;DC3;20191100084
1-1-2019;134-TrailChef Double Flame;209;80;16720;6;672;12540;3-1-2019;DC4;20191100085
1-1-2019;45-Firefly Mapreader;168;38;6384;5;441;5426,4;3-1-2019;DC2;20191100086
1-1-2019;52-Glacier GPS Extreme;127;83;10541;6;420;7694,93;3-1-2019;DC3;20191100087
1-1-2019;32-Edge Extreme;83;91;7553;6;17;5815,81;5-1-2019;DC1;20191100088
1-1-2019;105-Polar Sun;213;84;17892;5;476;13240,08;3-1-2019;DC3;20191100089
1-1-2019;50-Glacier Deluxe;84;34;2856;5;629;2427,6;4-1-2019;DC4;20191100090
1-1-2019;104-Polar Sports;94;18;1692;4;278;1438,2;3-1-2019;DC1;20191100091
1-1-2019;104-Polar Sports;94;83;7802;3;431;6631,7;4-1-2019;DC3;20191100092
1-1-2019;109-Sam;150;51;7650;4;317;5508;3-1-2019;DC2;20191100093
1-1-2019;65-Hailstorm Steel Irons;178;59;10502;5;30;7561,44;5-1-2019;DC1;20191100094
1-1-2019;125-Sun Shelter Stick;104;87;9048;1;591;6062,16;4-1-2019;DC1;20191100095
1-1-2019;114-Single Edge;200;53;10600;7;296;8480;3-1-2019;DC4;20191100096
1-1-2019;53-Granite Axe;67;43;2881;2;33;2016,7;5-1-2019;DC1;20191100097
1-1-2019;82-Husky Rope 60;88;20;1760;7;384;1249,6;3-1-2019;DC2;20191100098
1-1-2019;21-Capri;222;79;17538;3;631;13153,5;5-1-2019;DC3;20191100099
1-1-2019;131-TrailChef Cook Set;107;8;856;4;563;573,52;2-1-2019;DC2;20191100100
1-1-2019;139-TrailChef Water Bag;149;38;5662;7;336;4189,88;5-1-2019;DC1;20191100101
1-1-2019;9-BugShield Extreme;50;24;1200;2;291;996;2-1-2019;DC2;20191100102
1-1-2019;67-Hailstorm Titanium Irons;195;28;5460;5;656;4095;4-1-2019;DC3;20191100103
1-1-2019;26-Course Pro Golf Bag;171;87;14877;1;1;12645,45;2-1-2019;DC3;20191100104
1-1-2019;100-Opera Vision;77;86;6622;1;429;4569,18;3-1-2019;DC4;20191100105
1-1-2019;72-Hibernator Extreme;249;76;18924;4;676;14003,76;4-1-2019;DC2;20191100106
1-1-2019;6-Bella;147;67;9849;6;347;6598,83;5-1-2019;DC4;20191100107
1-1-2019;90-Lady Hailstorm Titanium Woods Set;196;76;14896;7;20;12363,68;3-1-2019;DC4;20191100108
1-1-2019;24-Course Pro Gloves;64;6;384;3;355;257,28;5-1-2019;DC1;20191100109
1-1-2019;47-Firefly Rechargeable Battery;187;60;11220;3;114;7629,6;5-1-2019;DC2;20191100110
1-1-2019;131-TrailChef Cook Set;107;11;1177;1;186;788,59;2-1-2019;DC4;20191100111
1-1-2019;137-TrailChef Single Flame;120;62;7440;7;87;5728,8;2-1-2019;DC3;20191100112
1-1-2019;72-Hibernator Extreme;249;14;3486;5;558;2579,64;4-1-2019;DC3;20191100113
1-1-2019;77-Husky Harness;109;24;2616;5;131;2066,64;5-1-2019;DC2;20191100114
1-1-2019;91-Legend;175;48;8400;6;57;6720;4-1-2019;DC3;20191100115
1-1-2019;27-Course Pro Putter;198;43;8514;7;361;6640,92;2-1-2019;DC1;20191100116
1-1-2019;65-Hailstorm Steel Irons;178;71;12638;5;198;9099,36;3-1-2019;DC4;20191100117
1-1-2019;126-Sun Shield;77;44;3388;1;111;2337,72;4-1-2019;DC3;20191100118
1-1-2019;87-Lady Hailstorm Steel Irons;226;68;15368;4;285;10603,92;2-1-2019;DC4;20191100119
1-1-2019;68-Hailstorm Titanium Woods Set;133;74;9842;5;475;7578,34;3-1-2019;DC3;20191100120
1-1-2019;41-Firefly Charger;175;67;11725;7;368;7855,75;5-1-2019;DC2;20191100121
1-1-2019;67-Hailstorm Titanium Irons;195;56;10920;5;213;8190;4-1-2019;DC3;20191100122
1-1-2019;123-Sun Shelter 15;95;30;2850;5;283;2023,5;2-1-2019;DC1;20191100123
1-1-2019;88-Lady Hailstorm Steel Woods Set;141;29;4089;5;337;3352,98;2-1-2019;DC2;20191100124
1-1-2019;73-Hibernator Lite;233;3;699;4;325;573,18;4-1-2019;DC2;20191100125
1-1-2019;136-TrailChef Kitchen Kit;203;61;12383;7;433;9906,4;3-1-2019;DC4;20191100126
1-1-2019;93-Max Gizmo;76;78;5928;3;313;4446;2-1-2019;DC1;20191100127
1-1-2019;33-EverGlow Butane;233;92;21436;4;372;15219,56;3-1-2019;DC2;20191100128
1-1-2019;55-Granite Carabiner;247;55;13585;5;699;8830,25;3-1-2019;DC4;20191100129
1-1-2019;114-Single Edge;200;61;12200;1;452;9760;4-1-2019;DC3;20191100130
1-1-2019;75-Hibernator Pillow;245;42;10290;4;421;8026,2;3-1-2019;DC4;20191100131
1-1-2019;106-Polar Wave;213;25;5325;3;58;4419,75;5-1-2019;DC4;20191100132
1-1-2019;15-Canyon Mule Carryall;213;1;213;6;10;149,1;3-1-2019;DC3;20191100133
1-1-2019;101-Pocket Gizmo;207;22;4554;7;700;3461,04;2-1-2019;DC3;20191100134
1-1-2019;100-Opera Vision;77;18;1386;5;417;956,34;4-1-2019;DC2;20191100135
1-1-2019;96-Mountain Man Combination;150;4;600;6;374;474;2-1-2019;DC3;20191100136
1-1-2019;57-Granite Climbing Helmet;53;96;5088;4;521;4019,52;4-1-2019;DC1;20191100137
1-1-2019;57-Granite Climbing Helmet;53;87;4611;5;392;3642,69;3-1-2019;DC1;20191100138
1-1-2019;115-Sky Pilot;233;62;14446;4;369;10978,96;4-1-2019;DC1;20191100139
1-1-2019;111-Seeker 50;71;73;5183;1;573;4094,57;5-1-2019;DC1;20191100140
1-1-2019;27-Course Pro Putter;198;63;12474;5;16;9729,72;4-1-2019;DC3;20191100141
1-1-2019;19-Canyon Mule Journey Backpack;143;5;715;1;418;479,05;5-1-2019;DC1;20191100142
1-1-2019;45-Firefly Mapreader;168;54;9072;6;123;7711,2;3-1-2019;DC1;20191100143
1-1-2019;34-EverGlow Double;207;99;20493;3;285;15164,82;5-1-2019;DC1;20191100144
1-1-2019;108-Retro;109;91;9919;4;335;8034,39;3-1-2019;DC2;20191100145
1-1-2019;113-Seeker Mini;237;3;711;1;512;561,69;2-1-2019;DC1;20191100146
1-1-2019;8-Blue Steel Putter;236;96;22656;5;177;16538,88;2-1-2019;DC1;20191100147
1-1-2019;50-Glacier Deluxe;84;86;7224;6;288;6140,4;2-1-2019;DC1;20191100148
1-1-2019;130-TrailChef Canteen;52;12;624;6;35;468;4-1-2019;DC3;20191100149
1-1-2019;73-Hibernator Lite;233;45;10485;1;581;8597,7;2-1-2019;DC1;20191100150
1-1-2019;21-Capri;222;1;222;4;277;166,5;4-1-2019;DC4;20191100151
1-1-2019;95-Mountain Man Analog;126;37;4662;3;332;3682,98;3-1-2019;DC1;20191100152
1-1-2019;85-Insect Bite Relief;138;60;8280;7;646;5382;3-1-2019;DC3;20191100153
1-1-2019;144-Zone;177;22;3894;1;69;3193,08;4-1-2019;DC1;20191100154
1-1-2019;50-Glacier Deluxe;84;55;4620;6;351;3927;5-1-2019;DC4;20191100155
1-1-2019;126-Sun Shield;77;45;3465;5;458;2390,85;5-1-2019;DC2;20191100156
1-1-2019;52-Glacier GPS Extreme;127;34;4318;6;610;3152,14;5-1-2019;DC1;20191100157
1-1-2019;76-Hibernator Self - Inflating Mat;51;61;3111;3;437;2613,24;4-1-2019;DC1;20191100158
1-1-2019;93-Max Gizmo;76;92;6992;7;243;5244;2-1-2019;DC3;20191100159
1-1-2019;74-Hibernator Pad;82;30;2460;7;478;2041,8;3-1-2019;DC1;20191100160
1-1-2019;107-Ranger Vision;111;56;6216;1;352;5283,6;3-1-2019;DC1;20191100161
1-1-2019;47-Firefly Rechargeable Battery;187;83;15521;3;308;10554,28;4-1-2019;DC1;20191100162
1-1-2019;46-Firefly Multi-light;248;92;22816;7;372;19393,6;2-1-2019;DC3;20191100163
1-1-2019;46-Firefly Multi-light;248;29;7192;2;183;6113,2;3-1-2019;DC2;20191100164
1-1-2019;83-Inferno;111;50;5550;6;573;3774;4-1-2019;DC1;20191100165
1-1-2019;47-Firefly Rechargeable Battery;187;88;16456;7;195;11190,08;4-1-2019;DC2;20191100166
1-1-2019;128-Trail Scout;181;86;15566;5;365;11518,84;4-1-2019;DC1;20191100167
1-1-2019;28-Course Pro Umbrella;136;50;6800;4;59;4624;3-1-2019;DC4;20191100168
1-1-2019;31-Double Edge;124;23;2852;5;295;2110,48;3-1-2019;DC3;20191100169
1-1-2019;78-Husky Harness Extreme;249;46;11454;2;231;8590,5;4-1-2019;DC2;20191100170
1-1-2019;117-Star Gazer 2;54;29;1566;7;626;1111,86;5-1-2019;DC4;20191100171
1-1-2019;99-Mountain Man Extreme;117;93;10881;2;528;9140,04;3-1-2019;DC4;20191100172
1-1-2019;70-Hibernator;174;3;522;4;594;407,16;3-1-2019;DC1;20191100173
1-1-2019;87-Lady Hailstorm Steel Irons;226;5;1130;1;523;779,7;5-1-2019;DC4;20191100174
1-1-2019;126-Sun Shield;77;30;2310;4;446;1593,9;4-1-2019;DC2;20191100175
1-1-2019;86-Kodiak;227;84;19068;6;665;12584,88;3-1-2019;DC1;20191100176
1-1-2019;127-Trail Master;73;7;511;6;638;388,36;5-1-2019;DC4;20191100177
1-1-2019;81-Husky Rope 50;204;39;7956;1;447;6683,04;3-1-2019;DC2;20191100178
1-1-2019;25-Course Pro Golf and Tee Set;229;80;18320;3;493;14106,4;3-1-2019;DC4;20191100179
1-1-2019;17-Canyon Mule Cooler;91;90;8190;5;60;6060,6;3-1-2019;DC2;20191100180
1-1-2019;130-TrailChef Canteen;52;50;2600;1;45;1950;5-1-2019;DC1;20191100181
1-1-2019;79-Husky Rope 100;221;44;9724;4;43;7876,44;2-1-2019;DC3;20191100182
1-1-2019;66-Hailstorm Steel Woods Set;100;8;800;7;241;528;2-1-2019;DC1;20191100183
1-1-2019;138-TrailChef Utensils;206;48;9888;1;657;6427,2;5-1-2019;DC2;20191100184
1-1-2019;42-Firefly Climbing Lamp;98;89;8722;4;28;7064,82;2-1-2019;DC1;20191100185
1-1-2019;32-Edge Extreme;83;54;4482;2;322;3451,14;3-1-2019;DC1;20191100186
1-1-2019;70-Hibernator;174;38;6612;1;530;5157,36;4-1-2019;DC1;20191100187
1-1-2019;46-Firefly Multi-light;248;50;12400;2;676;10540;2-1-2019;DC3;20191100188
1-1-2019;42-Firefly Climbing Lamp;98;95;9310;7;77;7541,1;2-1-2019;DC4;20191100189
1-1-2019;22-Cat Eye;222;29;6438;1;315;4699,74;4-1-2019;DC2;20191100190
1-1-2019;92-Lux;223;42;9366;6;308;6649,86;2-1-2019;DC3;20191100191
1-1-2019;120-Star Lite;226;76;17176;5;537;14256,08;2-1-2019;DC1;20191100192
1-1-2019;98-Mountain Man Digital;116;62;7192;1;193;5034,4;5-1-2019;DC2;20191100193
1-1-2019;41-Firefly Charger;175;95;16625;3;274;11138,75;5-1-2019;DC2;20191100194
1-1-2019;88-Lady Hailstorm Steel Woods Set;141;4;564;4;148;462,48;2-1-2019;DC3;20191100195
1-1-2019;18-Canyon Mule Extreme Backpack;202;50;10100;3;189;7070;4-1-2019;DC1;20191100196
1-1-2019;64-Granite Signal Mirror;234;90;21060;1;49;16005,6;5-1-2019;DC2;20191100197
1-1-2019;73-Hibernator Lite;233;49;11417;2;426;9361,94;3-1-2019;DC2;20191100198
1-1-2019;63-Granite Shovel;127;52;6604;2;20;5349,24;5-1-2019;DC3;20191100199
1-1-2019;139-TrailChef Water Bag;149;82;12218;3;659;9041,32;2-1-2019;DC1;20191100200
1-1-2019;94-Maximus;150;25;3750;7;64;2887,5;2-1-2019;DC1;20191100201
1-1-2019;43-Firefly Extreme;100;90;9000;1;97;7110;4-1-2019;DC3;20191100202
1-1-2019;133-TrailChef Deluxe Cook Set;223;54;12042;7;141;9272,34;3-1-2019;DC2;20191100203
1-1-2019;98-Mountain Man Digital;116;98;11368;4;689;7957,6;2-1-2019;DC1;20191100204
1-1-2019;17-Canyon Mule Cooler;91;22;2002;7;360;1481,48;4-1-2019;DC2;20191100205
1-1-2019;22-Cat Eye;222;98;21756;7;353;15881,88;2-1-2019;DC3;20191100206
1-1-2019;33-EverGlow Butane;233;79;18407;3;346;13068,97;4-1-2019;DC1;20191100207
1-1-2019;64-Granite Signal Mirror;234;17;3978;3;700;3023,28;4-1-2019;DC4;20191100208
1-1-2019;31-Double Edge;124;19;2356;3;331;1743,44;3-1-2019;DC3;20191100209
1-1-2019;87-Lady Hailstorm Steel Irons;226;99;22374;4;677;15438,06;5-1-2019;DC2;20191100210
1-1-2019;64-Granite Signal Mirror;234;76;17784;6;482;13515,84;4-1-2019;DC2;20191100211
1-1-2019;76-Hibernator Self - Inflating Mat;51;23;1173;2;12;985,32;4-1-2019;DC1;20191100212
1-1-2019;8-Blue Steel Putter;236;34;8024;6;347;5857,52;5-1-2019;DC2;20191100213
1-1-2019;127-Trail Master;73;66;4818;3;691;3661,68;3-1-2019;DC3;20191100214
1-1-2019;144-Zone;177;90;15930;3;536;13062,6;4-1-2019;DC2;20191100215
1-1-2019;57-Granite Climbing Helmet;53;13;689;3;686;544,31;2-1-2019;DC3;20191100216
1-1-2019;70-Hibernator;174;92;16008;5;243;12486,24;5-1-2019;DC2;20191100217
1-1-2019;94-Maximus;150;66;9900;4;194;7623;2-1-2019;DC2;20191100218
1-1-2019;67-Hailstorm Titanium Irons;195;31;6045;1;261;4533,75;4-1-2019;DC3;20191100219
1-1-2019;90-Lady Hailstorm Titanium Woods Set;196;78;15288;7;466;12689,04;3-1-2019;DC3;20191100220
1-1-2019;46-Firefly Multi-light;248;34;8432;4;155;7167,2;3-1-2019;DC4;20191100221
1-1-2019;110-Seeker 35;150;39;5850;7;90;4855,5;2-1-2019;DC2;20191100222
1-1-2019;84-Infinity;138;40;5520;4;529;4471,2;3-1-2019;DC2;20191100223
1-1-2019;101-Pocket Gizmo;207;81;16767;7;94;12742,92;2-1-2019;DC3;20191100224
1-1-2019;132-TrailChef Cup;179;75;13425;5;586;11008,5;2-1-2019;DC1;20191100225
1-1-2019;28-Course Pro Umbrella;136;76;10336;6;615;7028,48;2-1-2019;DC2;20191100226
1-1-2019;70-Hibernator;174;24;4176;5;13;3257,28;4-1-2019;DC3;20191100227
1-1-2019;89-Lady Hailstorm Titanium Irons;130;41;5330;3;192;3464,5;2-1-2019;DC3;20191100228
1-1-2019;126-Sun Shield;77;42;3234;4;344;2231,46;2-1-2019;DC1;20191100229
1-1-2019;88-Lady Hailstorm Steel Woods Set;141;61;8601;6;306;7052,82;5-1-2019;DC2;20191100230
1-1-2019;100-Opera Vision;77;24;1848;1;460;1275,12;4-1-2019;DC1;20191100231
1-1-2019;37-EverGlow Single;165;94;15510;1;350;11167,2;3-1-2019;DC3;20191100232
1-1-2019;48-Flicker Lantern;177;53;9381;4;34;6285,27;2-1-2019;DC3;20191100233
1-1-2019;104-Polar Sports;94;44;4136;4;126;3515,6;2-1-2019;DC4;20191100234
1-1-2019;28-Course Pro Umbrella;136;7;952;4;530;647,36;3-1-2019;DC2;20191100235
1-1-2019;69-Hawk Eye;149;36;5364;5;571;4452,12;5-1-2019;DC2;20191100236
1-1-2019;62-Granite Pulley;132;79;10428;6;135;8550,96;3-1-2019;DC4;20191100237
1-1-2019;42-Firefly Climbing Lamp;98;88;8624;4;127;6985,44;2-1-2019;DC3;20191100238
1-1-2019;17-Canyon Mule Cooler;91;59;5369;7;600;3973,06;3-1-2019;DC3;20191100239
1-1-2019;131-TrailChef Cook Set;107;44;4708;2;321;3154,36;4-1-2019;DC3;20191100240
1-1-2019;84-Infinity;138;58;8004;3;461;6483,24;3-1-2019;DC3;20191100241
1-1-2019;137-TrailChef Single Flame;120;78;9360;7;405;7207,2;4-1-2019;DC2;20191100242
1-1-2019;131-TrailChef Cook Set;107;3;321;6;388;215,07;2-1-2019;DC2;20191100243
1-1-2019;111-Seeker 50;71;59;4189;1;372;3309,31;3-1-2019;DC2;20191100244
1-1-2019;2-Astro Pilot;115;1;115;2;73;94,3;2-1-2019;DC3;20191100245
1-1-2019;6-Bella;147;84;12348;5;28;8273,16;4-1-2019;DC4;20191100246
1-1-2019;24-Course Pro Gloves;64;74;4736;5;373;3173,12;3-1-2019;DC3;20191100247
1-1-2019;97-Mountain Man Deluxe;66;77;5082;3;220;3709,86;4-1-2019;DC3;20191100248
1-1-2019;141-TX;181;79;14299;7;42;9723,32;4-1-2019;DC2;20191100249
1-1-2019;84-Infinity;138;57;7866;1;674;6371,46;5-1-2019;DC2;20191100250
1-1-2019;66-Hailstorm Steel Woods Set;100;50;5000;5;358;3300;4-1-2019;DC2;20191100251
1-1-2019;97-Mountain Man Deluxe;66;54;3564;6;680;2601,72;4-1-2019;DC4;20191100252
1-1-2019;2-Astro Pilot;115;75;8625;7;84;7072,5;4-1-2019;DC4;20191100253
1-1-2019;26-Course Pro Golf Bag;171;68;11628;1;34;9883,8;5-1-2019;DC4;20191100254
1-1-2019;13-BugShield Spray;196;26;5096;1;542;3312,4;4-1-2019;DC4;20191100255
1-1-2019;31-Double Edge;124;13;1612;4;245;1192,88;5-1-2019;DC1;20191100256
1-1-2019;16-Canyon Mule Climber Backpack;186;53;9858;4;350;6802,02;2-1-2019;DC1;20191100257
1-1-2019;42-Firefly Climbing Lamp;98;53;5194;7;458;4207,14;3-1-2019;DC2;20191100258
1-1-2019;97-Mountain Man Deluxe;66;27;1782;5;280;1300,86;2-1-2019;DC4;20191100259
1-1-2019;102-Polar Extreme;185;80;14800;7;333;11692;3-1-2019;DC4;20191100260
1-1-2019;29-Dante;178;96;17088;4;243;14353,92;4-1-2019;DC2;20191100261
1-1-2019;75-Hibernator Pillow;245;45;11025;4;592;8599,5;2-1-2019;DC1;20191100262
1-1-2019;93-Max Gizmo;76;43;3268;4;80;2451;2-1-2019;DC1;20191100263
1-1-2019;131-TrailChef Cook Set;107;65;6955;2;71;4659,85;3-1-2019;DC3;20191100264
1-1-2019;109-Sam;150;51;7650;3;94;5508;5-1-2019;DC3;20191100265
1-1-2019;37-EverGlow Single;165;4;660;3;556;475,2;5-1-2019;DC4;20191100266
1-1-2019;99-Mountain Man Extreme;117;77;9009;5;304;7567,56;5-1-2019;DC2;20191100267
1-1-2019;110-Seeker 35;150;40;6000;5;520;4980;3-1-2019;DC1;20191100268
1-1-2019;136-TrailChef Kitchen Kit;203;80;16240;4;665;12992;2-1-2019;DC2;20191100269
1-1-2019;18-Canyon Mule Extreme Backpack;202;98;19796;6;24;13857,2;3-1-2019;DC4;20191100270
1-1-2019;16-Canyon Mule Climber Backpack;186;83;15438;5;376;10652,22;3-1-2019;DC2;20191100271
1-1-2019;35-EverGlow Kerosene;106;61;6466;7;411;4590,86;3-1-2019;DC4;20191100272
1-1-2019;92-Lux;223;24;5352;2;638;3799,92;4-1-2019;DC4;20191100273
1-1-2019;26-Course Pro Golf Bag;171;47;8037;5;249;6831,45;5-1-2019;DC4;20191100274
1-1-2019;109-Sam;150;58;8700;7;291;6264;2-1-2019;DC4;20191100275
1-1-2019;100-Opera Vision;77;52;4004;4;269;2762,76;4-1-2019;DC1;20191100276
